route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
26-89,2002-Saturday-1-2002-0000010-,1608305,"Keystone Crossing",0,192728,260112
26-89,2002-Saturday-1-2002-0000010-,1608306,"Keystone Crossing",0,192755,260112
26-89,2002-Saturday-1-2002-0000010-,1608307,"Keystone Crossing",0,192728,260112
26-89,2002-Saturday-1-2002-0000010-,1608308,"Keystone Crossing",0,192755,260112
26-89,2002-Saturday-1-2002-0000010-,1608309,"Keystone Crossing",0,192728,260112
26-89,2002-Saturday-1-2002-0000010-,1608310,"Keystone Crossing",0,192766,260112
26-89,2002-Saturday-1-2002-0000010-,1608311,"Keystone Crossing",0,192767,260112
26-89,2002-Saturday-1-2002-0000010-,1608312,"Keystone Crossing",0,192766,260112
26-89,2002-Saturday-1-2002-0000010-,1608313,"Keystone Crossing",0,192767,260112
26-89,2002-Saturday-1-2002-0000010-,1608314,"Keystone Crossing",0,192766,260112
26-89,2002-Saturday-1-2002-0000010-,1608315,"Keystone Crossing",0,192767,260112
26-89,2002-Saturday-1-2002-0000010-,1608316,"Emerson & Thompson",1,192755,260111
26-89,2002-Saturday-1-2002-0000010-,1608317,"Emerson & Thompson",1,192728,260111
26-89,2002-Saturday-1-2002-0000010-,1608318,"Emerson & Thompson",1,192755,260111
26-89,2002-Saturday-1-2002-0000010-,1608319,"Emerson & Thompson",1,192728,260111
26-89,2002-Saturday-1-2002-0000010-,1608320,"Emerson & Thompson",1,192755,260111
26-89,2002-Saturday-1-2002-0000010-,1608321,"Emerson & Thompson",1,192728,260111
26-89,2002-Saturday-1-2002-0000010-,1608322,"Emerson & Thompson",1,192766,260111
26-89,2002-Saturday-1-2002-0000010-,1608323,"Emerson & Thompson",1,192767,260111
26-89,2002-Saturday-1-2002-0000010-,1608324,"Emerson & Thompson",1,192766,260111
26-89,2002-Saturday-1-2002-0000010-,1608325,"Emerson & Thompson",1,192767,260111
